psraid,weight,int_date,tz,cregion,fips,state,msa,usr,usr1,cstatus,p1,p2,kidage,kidgen,p4a,p5a,kidsel,p4b,p5b,p6,p7,q1a,q1b,q2a,q2b,q3a,q3b,q3c,q3d,q4,q5a,q5b,q5c,q5d,q7a,q7b,psex,age,educ,hisp,race,income,modem,q8,playgame,k1a,k1b,k2,k3a,k3b,k3c,k3d,k4a,k4b,k4c,k5a,k5b,k5c,k5d,k5e,k6a,k6b,k6c,k6d,k6e,k7a,k7b,k7c,k7d,k7e,k7f,k7g,k8a,k8b,k8c,k8d,k8e,k9a,k9b,k9c,k9d,k10,k11,k12_1,k12_2,k12_3,k13,k14a,k14b,k14c,k14d,k14e,k14f,k14g,k14h,k14i,k14j,k14k,k14l,k15,k16,k17,K17_CD1,K17_CD2,K17_CD3,k18,k19,k20a,k20b,k20c,k21,k22,k23,k24,k25,k26a,k26b,k26c,k26d,k27,k28,K28_CD1,K28_CD2,K28_CD3,k29a,k29b,k29c,k29d,k29e,k29f,k29g,k29h,k30a,k30b,k31a,k31b,k32a,k20cnt,ksex,kage,racethn,kagerec,numkids,i_user,c_user,c_age,c_agegrp,c_sex,c_game,k3cnt,k4cnt,k6cnt,k7cnt,k8cnt,k9cnt,k14cnt,k26cnt,k29cnt,raceos,modemos,k3dos,k12os,k13os,k17game,k28game
9255,1.35416666666667,120807,C,2,29047,29,28140,U,1,0,2,2,15,1, , ,3,15,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,3,3, ,2,35,5,2,1,7,2,1,1,1,1,3,1,1,1,2,1,1,2,1,1,3,1,3,1,1,1,1,2,1,1,3,1,1,2, ,2,1,2,2,2,1,2,1,1,1, , , , , ,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,10735,58,18,4,0,1,2,2, , , ,2,2,1,1,1,1,1,1,103, , ,2,2,1,2,2,8,2,2,3, ,2,3,1,1,1,15,1,4,2,1,1,15,2,1,1,3,2,4,5,5,3,10,4,1, , , , , ,"ASSASSIN'S CREED, TONY HAWKS AMERICAN WASTELAND, GUITAR HERO",TEACHING HOW TO TYPE
7733,1.66666666666667,121107,C,2,29177,29,28140,S,2,2,2,1,17,1,17,1, , , ,1,1,1,1,1,1,3,1,3,1,1,2,3,2,4,3, ,2,48,4,2,1,6,3,2,1,1,2,2,1,1,2,2,1,1,1,3,3,3,1,3,2,2,1,1,2,1,1,5, ,5,5,4,3,2,3,3,2,1,2,1,1,1, , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,20,18,17320,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2, , , , ,3,3,3,3,3,4,2,2,1,3,1,3,2,2,1,17,1,6,1,1,1,17,2,1,1,2,3,2,2,2,3,10,0,0, , , , , ,"HALO, GUITAR HERO, NEED FOR SPEED: CARBON", 
14334,1.70833333333333,11008,C,2,29095,29,28140,S,2,2,1,1,16,2,16,2, , , ,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3, ,1,41,6,2,1,6,2,2,1,1,2,4,1,2,1,2,1,1,1,2,3,3,1,3,1,1,1,1,1,4,4,1,1,5,5,5,1,1,2,1,1,1,1,2,1,1, , , , , ,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,18,17332,15459,3,0,1,2,2, , , ,2,2,2,2,2,2,1,9, , , ,3,3,3,3,3,3,2,2,2,3,2,3,2,1,2,16,1,5,1,1,1,16,2,2,1,2,3,5,2,5,3,4,0,0, , , , , ,"GUITAR HERO 3, PRO STREET NEED FOR SPEED, JUICED 2", 
5851,1,11308,C,2,29095,29,28140,U,1,2,1,2,16,1, , ,3,16,1,2,1,1,1,1,1,1,1,3,1,1,1,1,4,2,1, ,2,52,6,2,1,7,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,4,4,2,1,2,1,2,1,1,1, , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,15,10735,20,1,4,2,1,1,2,3,1,1,1,1,2,2,2,2, , , , ,2,1,3,3,3,1,1,1,1,3,1,3,2,2,1,16,1,5,2,1,1,16,2,1,1,3,3,4,7,3,3,12,1,4, , , , , ,"GEARS OF WAR, ASSASIN'S CREED, HALO 3", 
2389,1.47916666666667,111207,C,3,48439,48,19100,S,2,2,2,2,16,2, , ,3,16,2,1,1,1,1,1,1,3,1,3,1,1,2,4,4,3,3, ,2,41,6,2,1,9,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,3,1,3,1,2,1,2,2,4,3,2,2,5,4, ,1,1,1,2,1,2,2,1,1,1, , , , , ,1,1,1,2,1,2,2,2,2,2,1,2,2,2,9, , , ,4,0,2,2,1, , , ,2,2,2,2,1,1,2, , , , ,2,3,2,3,3,3,3,3,3, ,3, ,3,1,2,16,1,5,2,1,1,16,2,2,1,2,2,2,2,5,2,5,2,0, , , , , ,DK, 
4787,2.3125,112507,C,3,48439,48,19100,S,2,0,2,2,13,1, , ,1,13,1,1,1,1,1,1,1,3,1,3,3,1,1,3,1,4,3, ,2,39,3,2,1,7,2,1,1,1,2,3,1,2,2,2,2,1,2,3,3,3,3,3,2,2,2,1,1,4,3,5, ,5,5, ,1,2,4,4,1,1,1,2,2,1, , , , , ,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,58,18,54,3,2,1,2,1,3, , ,2,2,1,2,1,2,2, , , , ,3,3,2,3,3,3,3,2,3, ,3, ,3,2,1,13,1,2,2,1,1,13,1,1,1,1,1,2,0,3,2,6,2,0, , , , , ,"TONY HAWK PROSKATER, GUITAR HERO, ZELDA", 
3673,1.85416666666667,122607,C,3,48439,48,19100,U,1,2,2,1,17,1,17,1, , , ,1,1,1,1,1,1,1,1,3,1,1,3,4,3,3,3, ,1,49,6,2,1,7,2,2,1,1,2,6,2,1,1,2,1,2,1,1,1,1,1,3,1,2,2,1,2,2,5,1,1,5,5,3,2,1,1,1,1,1,2,2,2,2, , , , , ,1,1,2,2,1,2,1,1,2,2,1,2,2,2,1,5,21,18,5,0,1,2,2, , , ,2,2,1,2,2,2,2, , , , ,2,1,1,1,1,3,3,3,3, ,3, ,1,1,1,17,1,6,1,1,1,17,2,1,1,2,2,2,3,5,1,6,1,4, , , , , ,"CALL OF DUTY 4, HALO 3, GUITAR HERO 3", 
2755,2,111407,C,3,48439,48,19100,U,1,0,2,2,17,2, , ,3,17,2,1,1,1,1,1,1,1,1,3,1,1,2,3,3,3,3, ,1,51,5,2,1,8,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,3,1,1,1,2,2,3,1,1,1,4,4,1,4,2,4,2,2,1,2,1,1,1, , , , , ,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,52,57,18,4,0,2,2,1, , , ,1,2,2,2,2,2,1,9, , , ,4,2,3,3,2,3,1,3,2,2,3, ,1,1,2,17,1,6,2,1,1,17,2,2,1,2,3,3,4,3,3,3,0,1, , , , , ,"TETRIS, SIMS 2, GUITAR HERO",DON'T REMEMBER
3678,1.45833333333333,120807,P,4,6037,6,31100,U,1,2,3,2,17,2, , ,3,17,2,1,1,1,1,1,1,3,1,3,1,1,1,4,1,4,3, ,2,47,7,2,6,8,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,1,1,1,5,1,2,1,2,1,1,1,1,2,2,2, , , , , ,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,48,50,20642,4,1,1,2,2, , , ,1,2,1,1,1,2,2, , , , ,2,2,3,2,2,3,3,3,1,2,3, ,1,1,2,17,4,6,2,1,1,17,2,2,1,2,3,5,5,5,2,6,3,0,MIDDLE EASTERN, , , , ,"SUPER MARIO GALAXY, SUPER SMASH BROTHERS MELEE, TALES OF SYMPHONIA", 
11671,1.75,122607,E,3,37021,37,11700,U,1,2,2,2,15,2, , ,3,15,2,1,1,1,1,1,1,1,1,3,1,2, , , , , ,2,1,47,7,2,1,8,3,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,2,2,3,5,1,1,5,5,3,2,2,2,2,2,2,2,2,1,2, , , , , ,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,52, , ,6,0,2,2,1, , , ,2,2,1,2,2,2,1,1,12415, , ,4,3,3,3,3,3,3,3,3, ,3, ,3,1,2,15,1,4,2,1,1,15,2,2,1,3,3,2,2,5,1,2,1,0, , ,FRIENDS HOUSES, , ,TETRIS,IT WAS A CROSSWORD PUZZLE GAME
